"p-S6"	"CyclinB1"	"p-STAT3"	"p-STAT5"	"p-ERK"	"p-p38"	"p-NFkB"	"p-STAT1"	"p-AKT"
"5"	1.26079349555621	1.85289188761658	1.02306662337137	1.24584973388328	0.903922344258377	0.723046220068485	0.915600274421047	0.830445187731648	0.875868514734985
"13"	1.31734946029278	1.0782451777792	1.0129366289233	0.775816597534183	0.618013418206813	0.648262438409784	0.748545017511365	0.749642313593359	0.685665036193641
"4"	1.27597871599906	1.15294419955112	0.939594514807255	1.13360547870109	0.569966782314038	0.531361277569398	0.802179803116917	0.731954755142049	0.788423188783955
"9"	0.82357252623317	1.21924881604985	0.825275859142824	0.804087687146844	0.755607815368094	0.583435092500438	0.880392248096233	0.801279664353211	0.741880328277087
"6"	1.53495712271233	1.67350560933412	1.44220955443662	1.25752685032883	0.696056950753019	1.15397836156156	1.06987375068564	0.994040126790097	1.0856889941896
"7"	0.85943890139344	0.91031999225454	0.702380110249845	0.787338292226812	0.558660480436793	0.51057079359688	0.68732484546199	0.75775468486773	0.748669061704716
"11"	0.95457660108925	0.997035311631452	0.797757607122189	0.878697702897305	0.5	0.5	0.766771200242007	0.790561479032436	0.761399986898592
"3"	1.49189288384395	1.35829185100535	1.11416629461652	1.2589413068145	0.681543201804388	0.559276891383362	0.917032856227998	0.88882869636267	0.953417827560039
"8"	0.965708980274733	0.851155151789183	0.704343141828395	0.687967206364185	0.55060270609626	0.553890869098703	0.694657440228983	0.719157544382763	0.713360379979566
"2"	1.19696823581207	1.00455056694518	0.886858124980602	0.967001074667236	0.668561101233991	0.629643844267703	0.860075413145857	0.782557772184739	0.83962174874838
"12"	0.881203086160001	1.30194650207772	0.943213792901324	0.901799869368752	0.700025232989455	0.5	0.7941014093142	0.692837060677621	0.730809069694252
"10"	0.933454194444631	1.16726072383067	0.993841525273936	0.987171996414726	0.5	0.5	0.629654297741828	0.691512203646892	0.652812338724029
"15"	1.19168015884395	1.06242241443621	0.836474786407844	0.681727727235658	0.552810000867748	0.5	0.701655863738919	0.610082103743086	0.563642677310225
"44"	1.45069377199409	0.899947564779609	0.957374881575361	0.585672571038957	0.76968108695033	0.735980188672036	0.764008996839577	0.731958444634813	0.733650011529601
"17"	1.03768608825813	1.12957299049474	0.909078028565433	0.658062742099231	0.735969691252296	0.5	0.81602524069092	0.813978273130515	0.642485613951497
"16"	0.82492790912719	1.27169983016771	0.915342067777852	0.739184147596532	0.653055324650983	0.595756742347143	0.790820504595973	0.706685457412549	0.629745632887103
"18"	1.40124579733021	1.36571096495666	0.967574770716432	0.64485258186474	0.615398934454497	0.835729701243896	0.823917910001047	0.74549395761466	0.667307034268729
"21"	1.06736400166562	1.10921732034646	0.881640753958715	0.540544170700575	0.5	0.5	0.673102571226321	0.649806211752359	0.5
"23"	1.25603292716814	1.52675340046266	0.903140321496142	0.721369731706582	0.674317369410444	0.5	0.854421223077824	1.31358486346942	0.736239696230561
"32"	0.579383635953308	0.593280238756501	0.942273368200798	0.76891267155595	0.609042996528495	0.5	0.839779323048425	0.900942802613617	0.786495479441133
"1"	1.14533925018338	1.61477749816682	0.910631058314962	1.29007724080799	0.547712977906761	0.5	1.11622400662093	0.547378457547727	0.514530159710175
"19"	0.750974739551968	1.24889630475081	0.596529529589506	0.898892709401435	0.5	0.5	0.711275954781565	1.11449558722229	1.76414639453765
"36"	0.611882697626423	1.46271861179872	1.19322211680915	0.665313282097941	0.618098330049444	1.11696713828164	0.900980998471402	1.00593895301418	0.589243260071605
"29"	1.22589528611158	1.33160532576791	1.17301250240932	0.84230704608205	0.587737185651195	0.586350326950295	1.2097388376238	1.05710535651827	0.588186575796639
"43"	1.10545627418433	1.18545051869207	1.14279964621815	0.607404523901925	0.548313309315832	0.918554479838683	0.921186535214906	0.851944791541341	0.615576359550745
"35"	0.730453385858297	1.13284807815047	0.881850329593818	0.607736929663887	0.927978304096547	0.741076576534836	0.909958776619208	1.05167892623706	0.576209231365466
