"p-IKAROS"	"p-S6"	"p-CREB"	"p-AKT"	"p-PLCg"	"p-STAT5"	"p-4EBP1"	"p-ERK"	"p-Syk"
"44"	1.26278128665979	2.28620323440897	1.34396907192287	0.5	0.5	0.5	0.787386695720413	0.5	0.5
"46"	1.06051613850141	1.85597978704977	1.17312064245608	0.5	0.5	0.5	0.533323810520495	0.55453514188811	0.647396014367001
"43"	1.0041382313575	1.60864574746816	1.09146284179451	0.5	0.5	0.5	0.586261065128577	0.5	0.512471146713797
"42"	0.930809359142346	1.25191387584767	1.16363608378627	0.5	0.5	0.5	0.550553567859769	0.5	0.5
"2"	1.20564933588846	1.1706749088423	1.46454300457195	0.5	0.5	0.5	0.5	0.5	0.5
"41"	1.56881713159489	1.36524419886635	1.02372545232571	0.5	0.5	0.5	0.5	0.549546053401849	0.5
"36"	1.45012881349387	2.41053761549735	1.49959425734858	0.5	0.5	0.5	0.516986451910744	0.5	0.5
"39"	1.24266121273016	1.30207876655469	1.49738770575518	0.5	0.5	0.5	0.5	0.5	0.5
"45"	1.16144251066081	1.39290171901296	1.50919581987658	0.5	0.5	0.5	1.03744406852044	0.5	0.5
"20"	1.09445977825279	1.03535322697646	0.962085315486346	0.5	0.5	0.5	0.5	0.5	0.5
"47"	1.10291294462493	0.753872722148336	1.1621333663534	0.5	0.5	0.5	0.55971526055132	0.5	0.5
"29"	1.6452761021025	1.57540932556714	0.916427716666125	0.5	0.5	0.5	0.5	0.5	0.5
"34"	1.23293777740012	0.5	0.790935081892429	0.5	0.5	0.5	0.5	0.5	0.5
"19"	1.79647908490472	0.5	0.729164054616669	0.5	0.5	0.5	0.5	0.5	0.802905391438731
"7"	1.56295430785803	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"23"	0.536078575281864	1.01719530837569	0.936867421338401	0.639877576231713	0.759249358131675	0.725173911009721	1.28568328930773	0.756843547900543	0.844154886145546
"8"	0.5	2.3389027312263	1.11356225770585	1.11340329032228	0.596330766257112	0.572191740452536	0.657289132408522	0.759808108858069	0.600019710893051
"14"	0.5	1.38840982091148	0.870539874465199	0.598816462967455	0.5	0.572229314167617	0.865697331833575	0.882944874632008	0.635130894937761
"1"	0.650842373937401	0.900961143802163	0.940913946038211	0.701772331892127	0.872468690337902	0.727150856577191	0.963896685466876	0.79661988580296	0.885338836589074
"38"	1.78513156147132	1.21093630476607	1.1697704244536	0.5	0.5	0.5	0.508632870355005	0.5	0.5
"37"	0.972257497492288	1.44066346905252	1.3930365334514	0.5	0.5	0.5	0.5	0.5	0.5
"40"	1.2823288840519	1.3618848562431	0.686734914749563	0.5	0.5	0.5	0.5	0.5	0.5
"32"	1.31093084183532	1.3676662838884	0.646774631779214	0.5	0.5	0.5	0.5	0.5	0.5
"24"	1.28246144320916	1.57111341410554	0.585193500371438	0.5	0.5	0.5	0.5	0.5	0.5
"33"	1.54704368298863	1.17988243959071	0.933805177216127	0.5	0.5	0.5	0.5	0.5	0.5
"15"	1.62785277348009	1.06969176282431	0.761699140094966	0.5	0.5	0.5	0.5	0.5	0.5
"10"	0.5	3.79003650817343	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"18"	0.983435973855965	3.15396340552854	0.736249036709658	0.5	0.5	0.5	0.5	0.5	0.5
"3"	0.752818498113419	1.40376471327436	0.569160253548492	0.5	0.5	0.5	0.5	0.5	0.5
"30"	1.09766444366468	0.944163977406554	0.563588384369164	0.5	0.5	0.5	0.5	0.5	0.5
"26"	0.898750237301909	0.821416942020844	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"28"	1.26594307661246	0.755324707866153	0.889331955210557	0.5	0.5	0.5	0.5	0.5	0.5
"31"	1.09374106620526	0.741816631789594	0.773991407081268	0.5	0.5	0.5	0.5	0.5	0.5
"35"	1.02801321692662	0.5	0.923303179757098	0.5	0.5	0.5	0.5	0.5	0.5
"13"	1.37164129856767	0.5	0.675068646148054	0.5	0.5	0.5	0.5	0.5	0.5
"12"	1.55054535375772	0.5	0.662374790377504	0.5	0.5	0.5	0.5	0.5	0.5
"27"	0.511897876136782	0.584137648605098	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"9"	0.5	0.518554337127091	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"22"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"16"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"21"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"6"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"25"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"17"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"4"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"5"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"11"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
